blockchain,pair,dex,ticker,supply,supply_apr,borrowed,borrowed_apr,leveraged_apr,leveraged_apr_multiplier,contract
AVAX,YAK/AVAX,TraderJoe,YAK,7268.0,0.0828,7007.0,0.1074,-124.93%,(5x),0xfd6d8c0d5c43195649d5e94f5db068893b02b866
AVAX,YAK/AVAX,TraderJoe,AVAX,20277.0,0.7117,13082.0,1.0404,-124.93%,(5x),0xfd6d8c0d5c43195649d5e94f5db068893b02b866
AVAX,WBTC.e/AVAX,Pangolin,WBTC.e,14669.0,0.021099999999999997,3785.0,0.0533,-100.55%,(10x),0x888300be13b8875feef00c421d1c4aa7b8eae8db
AVAX,WBTC.e/AVAX,Pangolin,AVAX,10436.0,0.3046,8571.0,0.46009999999999995,-100.55%,(10x),0x888300be13b8875feef00c421d1c4aa7b8eae8db
AVAX,AVAX/SNOB,TraderJoe,AVAX,5596.0,0.4238,4266.0,0.5904,-557.55%,(5x),0x6b9e2b2bbd70229e967322f0edb2d3049990d56d
AVAX,AVAX/SNOB,TraderJoe,SNOB,5764.0,1.9931999999999999,3812.0,3.5237,-557.55%,(5x),0x6b9e2b2bbd70229e967322f0edb2d3049990d56d
AVAX,AVAX/USDT.e,Pangolin,AVAX,16688.0,0.3564,3676.0,0.5952000000000001,39.32%,(5x),0x9d1e250e40676a05b8e1ce256b3f2b9764827dc8
AVAX,AVAX/USDT.e,Pangolin,USDT.e,3542.0,0.1812,3542.0,0.29100000000000004,39.32%,(5x),0x9d1e250e40676a05b8e1ce256b3f2b9764827dc8
AVAX,AVAX/PEFI,TraderJoe,AVAX,3459.0,0.0977,3071.0,0.1317,66.13%,(5x),0x3739a0d58b0b0aed4b50046a866bd2b9d79b4596
AVAX,AVAX/PEFI,TraderJoe,PEFI,4018.0,0.3994,3778.0,0.6570999999999999,66.13%,(5x),0x3739a0d58b0b0aed4b50046a866bd2b9d79b4596
AVAX,PNG/AVAX,Pangolin,PNG,9104.0,0.46140000000000003,2518.0,0.8563,-190.54%,(5x),0x310c66526c349784e975790094cbfbe8ae423fce
AVAX,PNG/AVAX,Pangolin,AVAX,9632.0,0.11779999999999999,3795.0,0.2413,-190.54%,(5x),0x310c66526c349784e975790094cbfbe8ae423fce
AVAX,PNG/AVAX,PangolinV2,PNG,116.45,0.4632,53.54,0.7665000000000001,-69.18%,(5x),0x677dce0683e6db30325cd97e8d04d138f34821a6
AVAX,PNG/AVAX,PangolinV2,AVAX,62.1,0.33149999999999996,59.44,0.45159999999999995,-69.18%,(5x),0x677dce0683e6db30325cd97e8d04d138f34821a6
MOONRIVER,MIM/MOVR,Solarbeam,MIM,47146.0,0.4475,45437.0,0.5765,1422.66%,(5x),0x2748d9d4e7379d5d29ca8887aeff929912ff06d8
MOONRIVER,MIM/MOVR,Solarbeam,MOVR,56292.0,0.4421,50399.0,0.5735,1422.66%,(5x),0x2748d9d4e7379d5d29ca8887aeff929912ff06d8
MOONRIVER,IMX.m/MOVR,Solarbeam,IMX.m,69258.0,0.3372,37289.0,0.4337,2287.32%,(5x),0x6ed3bc66dfcc5ac05daec840a75836da935fac97
MOONRIVER,IMX.m/MOVR,Solarbeam,MOVR,48096.0,0.2963,36532.0,0.38939999999999997,2287.32%,(5x),0x6ed3bc66dfcc5ac05daec840a75836da935fac97
MOONRIVER,ETH/MOVR,Solarbeam,ETH,48751.0,0.31370000000000003,33948.0,0.4474,1716.53%,(5x),0x899caad2d29eff3b628503a85dae736b5c4d1671
MOONRIVER,ETH/MOVR,Solarbeam,MOVR,58723.0,0.341,34128.0,0.4838,1716.53%,(5x),0x899caad2d29eff3b628503a85dae736b5c4d1671
MOONRIVER,FRAX/MOVR,Solarbeam,FRAX,14791.0,0.3945,12303.0,0.5222,2683.49%,(5x),0x35e8f2d87821a5149d92833390880f65911ad4d0
MOONRIVER,FRAX/MOVR,Solarbeam,MOVR,15346.0,0.4631,12300.0,0.5952000000000001,2683.49%,(5x),0x35e8f2d87821a5149d92833390880f65911ad4d0
MOONRIVER,WBTC/MOVR,Solarbeam,WBTC,6566.0,0.5588000000000001,6561.0,0.7359,4653.99%,(5x),0x24e19bd8477077b80de25ee7fc9f7a67d89d8009
MOONRIVER,WBTC/MOVR,Solarbeam,MOVR,14590.0,0.47950000000000004,7759.0,0.6275999999999999,4653.99%,(5x),0x24e19bd8477077b80de25ee7fc9f7a67d89d8009
